id_venda,id_pedido,data_venda,data_envio,id_cliente,nome_cliente,email_cliente,cidade_cliente,estado_cliente,categoria_produto,produto,marca,quantidade,valor_unitario,valor_venda,desconto,frete,canal,forma_pagamento,parcelas,status_pagamento,transportadora,status_entrega
19,PED-90212,2024-03-09,2024-12-30,836,Mariah da Mota,thales58@example.net,Martins Alegre,CE,Roupas,Enim,Nike,4,400.09,2157.01,30,9.38,SITE,Pix,6,Recusado,Total Express,Em trânsito
20,PED-59325,2025-12-31,2025-11-26,745,Maria Laura Farias,zpimenta@example.com,Siqueira da Serra,CE,Beleza,Omnis,Samsung,3,2443.4,2482.56,0,66.89,SITE,Boleto,3,Aprovado,Correios,Em trânsito
21,PED-87901,2024-03-24,2024-02-16,26,Luiz Miguel da Mota,maria-sophia81@example.org,da Conceição,MG,Roupas,Corporis,Adidas,2,2757.11,1340.72,10,107.01,app,Pix,2,aprovado,Jadlog,Entregue
22,PED-29726,2024-03-30,2025-03-28,621,Hellena Azevedo,lcosta@example.com,Sampaio,AP,Beleza,Consequuntur,LG,3,1396.13,821.1,30,34.58,Aplicativo,Pix,1,Pendente,Correios,Em trânsito
23,PED-66116,2024-03-07,2024-08-23,1094,Maria Sophia Cardoso,sampaioyasmin@example.org,Azevedo Grande,MA,eletronicos,Voluptates,Apple,5,3244.57,3416.08,0,31.91,App,Crédito,3,Pendente,Correios,Atrasado
24,PED-66098,2025-12-21,2025-05-30,285,Dr. Murilo Câmara,ycosta@example.com,Mendonça,PE,Casa,Nemo,LG,5,599.17,131.4,10,32.01,SITE,Débito,1,Pendente,Jadlog,Entregue
25,PED-53299,2024-09-15,2024-04-20,532,Lorenzo Vieira,yjesus@example.com,Alves,RJ,Roupas,Quis,Nike,3,200.01,748.4,0,7.67,Aplicativo,Pix,6,Pendente,Correios,Em trânsito
26,PED-76963,2024-05-22,2025-05-04,282,Hellena da Rosa,rleao@example.com,Nascimento,MA,Eletrônicos,Repudiandae,Adidas,1,819.51,1825.63,30,8.11,app,Crédito,6,Aprovado,Jadlog,Atrasado
27,PED-47000,2026-01-15,2024-09-06,319,Guilherme Vargas,caldeiranathan@example.com,Leão Grande,AP,Casa,Recusandae,LG,1,1073.48,1334.1,0,48.72,app,Crédito,12,Pendente,Jadlog,Entregue
28,PED-26764,2025-09-15,2024-10-11,121,Aurora Moreira,scavalcanti@example.org,Souza de Goiás,RO,Casa,Earum,Apple,5,620.85,1580.13,10,12.65,app,Boleto,1,aprovado,Correios,Em trânsito
29,PED-56916,2025-05-12,2025-07-13,220,Maria Sophia Ferreira,cavalcantemariana@example.com,Ramos do Oeste,PB,Beleza,In,Adidas,1,2566.22,332.04,20,99.96,SITE,Pix,6,Aprovado,Jadlog,Atrasado
30,PED-18031,2024-07-19,2025-12-23,816,Luara Silveira,siqueiramathias@example.net,Santos de Jesus,SE,Casa,Culpa,Adidas,2,1870.72,2445.64,10,84.43,SITE,Débito,1,aprovado,Correios,Entregue
31,PED-15573,2024-02-28,2025-05-02,889,Fernando Azevedo,brenda18@example.net,da Rocha,PA,Beleza,Quos,Samsung,3,1333.33,2500.08,0,65.13,app,Débito,3,Recusado,Jadlog,Em trânsito
32,PED-28055,2025-01-06,2025-08-06,184,Vicente Porto,castroanna-liz@example.net,Ramos do Norte,PI,Beleza,Quo,Genérica,1,1610.56,2582.4,0,93.43,app,Boleto,1,aprovado,Jadlog,Atrasado
33,PED-76784,2025-10-22,2024-07-22,370,Mateus Rodrigues,liamcavalcanti@example.org,Pires,AM,Roupas,Dolore,Samsung,1,1671.56,746.28,0,23.79,SITE,Crédito,1,Pendente,Jadlog,Atrasado
34,PED-21760,2025-03-06,2024-08-06,979,Dr. Caleb Aragão,ldas-neves@example.com,Melo das Flores,PA,Casa,Laborum,Samsung,3,591.17,2862.9,0,15.75,Site,Débito,6,Aprovado,Jadlog,Em trânsito
35,PED-94180,2025-11-08,2024-10-05,878,Ana Liz Teixeira,tgomes@example.net,Albuquerque,AP,Beleza,Harum,Adidas,5,1169.91,2868.19,0,2.1,App,Pix,1,aprovado,Total Express,Em trânsito
36,PED-57351,2025-06-02,2024-10-25,283,Pietra Mendes,goncalvesrodrigo@example.org,Pereira,GO,Casa,Reprehenderit,LG,4,2579.79,1238.75,0,7.02,app,Débito,6,Pendente,Jadlog,Em trânsito
37,PED-68701,2025-12-10,2025-01-17,179,Arthur Miguel da Rosa,cunhaenzo-gabriel@example.net,Aragão,AC,Eletrônicos,Quas,Apple,3,2833.63,2066.15,0,1.29,Aplicativo,Pix,1,Recusado,Correios,Atrasado
38,PED-48209,2024-07-08,2025-06-21,94,Evelyn Lima,fcosta@example.org,Costela do Sul,MG,eletronicos,Exercitationem,Nike,3,1567.19,611.07,0,5.18,App,Débito,1,Recusado,Correios,Entregue
39,PED-86129,2024-02-02,2025-10-27,798,Stephany Gonçalves,silveiraana-sophia@example.com,Sá,PI,Eletrônicos,Illo,LG,1,72.69,1883.69,0,93.14,SITE,Crédito,12,Recusado,Jadlog,Em trânsito
40,PED-81444,2025-06-04,2026-01-13,509,Brenda Nascimento,samuel28@example.net,Correia da Prata,RR,Casa,Cupiditate,Nike,3,1297.54,1390.59,0,0.52,Site,Boleto,6,Pendente,Jadlog,Em trânsito
41,PED-91729,2024-09-16,2025-12-13,128,Enrico Farias,ccirino@example.org,Pires,SE,Beleza,Nulla,Nike,5,3463.2,3040.71,0,85.45,SITE,Boleto,1,Recusado,Jadlog,Atrasado
42,PED-63811,2024-06-26,2025-09-01,680,Diego Borges,piresjoao-felipe@example.net,Moreira Verde,RO,Beleza,Quod,LG,3,2854.56,609.2,10,107.58,app,Pix,6,Aprovado,Total Express,Em trânsito
43,PED-64243,2025-02-16,2025-07-07,728,Sr. Enrico da Paz,biancasantos@example.org,da Mata,PA,Beleza,Dolore,Samsung,1,1282.91,1885.41,0,77.91,App,Crédito,1,Pendente,Correios,Atrasado
44,PED-78833,2025-10-19,2024-02-14,661,Nina Pinto,inogueira@example.org,Sales da Prata,PB,Roupas,Beatae,LG,5,543.66,1558.08,0,21.14,SITE,Crédito,1,Recusado,Correios,Atrasado
45,PED-10433,2025-04-27,2024-02-15,1105,Ester Vasconcelos,qribeiro@example.org,Duarte,SC,Roupas,Veritatis,Samsung,5,291.2,306.25,0,16.97,Site,Crédito,1,Recusado,Correios,Em trânsito
46,PED-89695,2025-10-31,2024-06-08,841,Carlos Eduardo Ramos,aborges@example.org,da Rocha,TO,Casa,Nam,LG,3,2213.7,2931.28,0,42.15,SITE,Crédito,3,aprovado,Jadlog,Entregue
47,PED-74643,2025-08-29,2024-11-09,1152,Sr. Henry Pires,isaac69@example.net,Cavalcanti do Campo,TO,eletronicos,Aliquid,LG,1,2465.97,3422.9,0,103.99,app,Débito,2,Aprovado,Correios,Atrasado
48,PED-60101,2025-12-12,2025-04-22,845,Thomas Silveira,carolinemoreira@example.net,Barros,CE,Eletrônicos,Adipisci,Genérica,2,1312.66,727.37,10,30.33,app,Pix,6,aprovado,Total Express,Atrasado
49,PED-97591,2025-07-09,2024-08-09,1104,Rhavi Pinto,liz07@example.net,Aragão de Sales,RO,Roupas,Facere,Nike,5,1586.92,1417.72,30,48.06,Aplicativo,Crédito,3,aprovado,Correios,Em trânsito
50,PED-64176,2024-05-29,2025-04-21,340,Dom Oliveira,aaragao@example.org,Vargas de Mendes,SE,Beleza,Laborum,Apple,4,2019.77,1312.83,0,109.82,SITE,Débito,6,aprovado,Total Express,Atrasado
51,PED-15853,2024-02-21,2025-11-02,951,Daniela Pires,mathias50@example.org,Barros da Prata,GO,Eletrônicos,Iste,Genérica,4,367.44,2691.51,30,65.9,app,Crédito,1,Pendente,Jadlog,Em trânsito
52,PED-80702,2025-10-05,2025-07-27,433,João Cunha,daragao@example.com,Freitas dos Dourados,PB,eletronicos,Eligendi,LG,5,1103.37,1060.93,30,71.78,Aplicativo,Crédito,1,Pendente,Jadlog,Entregue
53,PED-80403,2024-12-03,2024-11-07,211,Yasmin Cardoso,zramos@example.org,Sousa Paulista,PE,Casa,Quisquam,LG,2,2465.68,2975.16,0,56.79,Aplicativo,Crédito,6,Pendente,Correios,Entregue
54,PED-72803,2025-06-13,2025-11-07,669,Isaac Costa,daragao@example.com,Porto de Casa Grande,MT,Eletrônicos,Et,Adidas,5,2650.0,773.15,30,42.35,SITE,Crédito,1,aprovado,Correios,Atrasado
55,PED-55844,2024-05-28,2024-03-15,745,Heloisa Viana,sampaiocatarina@example.com,Freitas,SP,eletronicos,Eos,Samsung,1,882.46,410.62,0,33.81,App,Boleto,12,Pendente,Jadlog,Em trânsito
56,PED-87313,2024-03-16,2024-02-23,865,Levi Monteiro,lavinia28@example.com,Ribeiro das Pedras,PA,Casa,Quam,LG,5,480.93,670.92,20,98.08,app,Pix,6,Recusado,Jadlog,Atrasado
57,PED-38698,2024-11-30,2025-11-21,755,Melina Pacheco,lorenacasa-grande@example.org,Lopes Grande,SP,Eletrônicos,Mollitia,Nike,2,2245.33,432.99,20,62.53,Site,Boleto,1,aprovado,Correios,Em trânsito
58,PED-30726,2024-04-05,2025-11-25,139,Noah Gomes,cavalcantibenjamin@example.net,Machado,AP,eletronicos,Iusto,Apple,1,2595.61,1606.85,0,35.27,Aplicativo,Crédito,1,Recusado,Correios,Atrasado
59,PED-92040,2025-05-10,2024-11-26,388,Bento Caldeira,freitasisabelly@example.com,Casa Grande,SC,Roupas,Mollitia,Apple,3,643.39,1087.75,0,8.19,App,Crédito,2,Pendente,Correios,Entregue
60,PED-15617,2024-09-04,2025-10-28,1194,Srta. Heloisa Ramos,cfonseca@example.com,Aparecida Grande,PR,Beleza,Tenetur,Nike,2,1526.55,396.2,0,56.17,Aplicativo,Pix,1,Pendente,Jadlog,Em trânsito
61,PED-29246,2025-08-26,2024-07-21,245,Ian Duarte,macedoravi@example.org,Barbosa,RJ,Casa,Porro,Nike,3,1366.93,886.53,0,2.23,app,Crédito,2,Recusado,Jadlog,Atrasado
62,PED-80838,2024-01-30,2024-08-17,88,Mariah Cassiano,evelynabreu@example.net,Duarte,MT,Roupas,Aliquam,Adidas,4,1900.05,1876.64,0,59.56,Aplicativo,Pix,3,Pendente,Total Express,Entregue
63,PED-82120,2025-01-04,2024-11-13,585,Dr. Cauã da Paz,yaparecida@example.net,Nunes de Vasconcelos,GO,Casa,Eos,LG,4,1133.82,1807.88,0,17.93,Aplicativo,Boleto,1,Aprovado,Total Express,Atrasado
64,PED-60458,2024-11-26,2024-12-23,1170,Sra. Luna Abreu,joana00@example.net,da Luz de Pimenta,AL,Eletrônicos,Maiores,Adidas,2,1034.73,195.46,10,86.72,App,Crédito,1,Recusado,Correios,Em trânsito
65,PED-35005,2025-05-09,2024-10-29,648,Bárbara Novaes,uleao@example.org,da Cruz,CE,Beleza,Exercitationem,Apple,2,3227.43,2049.44,30,79.93,Site,Débito,12,aprovado,Jadlog,Atrasado
66,PED-87641,2025-07-19,2025-12-06,319,Diogo Aparecida,esilva@example.org,da Rocha,CE,Casa,Quasi,Adidas,4,1977.64,3400.53,0,52.26,Aplicativo,Pix,6,Pendente,Correios,Em trânsito
67,PED-38498,2025-06-13,2025-08-27,610,Sra. Alícia da Rocha,valentina04@example.org,Garcia das Pedras,AC,Beleza,Earum,Apple,3,2664.95,587.01,0,88.13,app,Crédito,1,aprovado,Jadlog,Atrasado
68,PED-90967,2025-06-25,2025-01-25,352,Joana Correia,zoemacedo@example.org,Mendes do Campo,PB,Beleza,Quas,Apple,2,813.46,2001.37,30,6.99,SITE,Crédito,1,Aprovado,Correios,Atrasado
69,PED-22130,2024-05-20,2025-11-02,322,Sara Ribeiro,pedro-henrique08@example.net,da Mata de Minas,CE,Eletrônicos,A,Samsung,2,2220.09,3159.9,10,15.26,Aplicativo,Boleto,1,Recusado,Total Express,Em trânsito
70,PED-14286,2024-10-12,2025-06-02,741,Maria Clara Sales,araujoemanuel@example.com,Leão,RO,Roupas,Voluptatibus,LG,4,2105.6,3472.94,30,62.01,Aplicativo,Boleto,6,Aprovado,Total Express,Entregue
71,PED-89633,2025-05-24,2024-07-04,835,Antony Moraes,samariana@example.org,Borges,AM,Casa,Doloremque,Genérica,2,618.9,293.98,0,102.6,SITE,Pix,6,Aprovado,Total Express,Atrasado
72,PED-19350,2025-08-10,2025-02-17,221,Davi Marques,bruna97@example.org,Leão,AL,Roupas,Ab,Apple,3,3362.37,2922.87,20,12.93,app,Débito,1,Pendente,Total Express,Entregue
73,PED-84427,2025-02-18,2024-10-08,692,Eduarda Novaes,ana-ceciliafarias@example.net,Freitas de Guerra,AL,Roupas,Ad,Nike,2,853.76,2355.8,10,75.05,App,Débito,1,aprovado,Correios,Em trânsito
74,PED-52432,2025-06-30,2025-06-01,668,Giovanna da Luz,carvalhodaniel@example.com,Nogueira,RJ,Beleza,Repellendus,Nike,4,654.14,1647.97,20,89.43,Aplicativo,Débito,12,Aprovado,Correios,Em trânsito
75,PED-77656,2024-07-19,2025-07-16,700,Oliver Souza,epastor@example.net,Gonçalves,DF,Eletrônicos,Non,Samsung,3,3141.43,3469.25,20,110.46,Site,Boleto,2,Recusado,Correios,Entregue
76,PED-97645,2025-08-07,2024-08-31,1032,Leandro Cunha,rafaelcastro@example.net,Cavalcanti,TO,Roupas,Incidunt,Genérica,2,2461.37,161.27,10,22.56,App,Débito,1,aprovado,Correios,Em trânsito
77,PED-94798,2025-01-25,2025-04-22,146,Levi Monteiro,vitor-gabrielaraujo@example.net,Nogueira,AM,Casa,Cumque,Adidas,5,2237.85,1418.16,0,79.09,Site,Boleto,6,Aprovado,Total Express,Em trânsito
78,PED-26266,2025-09-01,2024-05-21,791,Antony Lima,pimentadaniel@example.org,Gonçalves,SE,Eletrônicos,Deleniti,Genérica,1,197.15,2834.53,30,57.14,Site,Boleto,1,Pendente,Jadlog,Atrasado
79,PED-30778,2025-08-14,2025-07-22,163,Alexia Sousa,fonsecanoah@example.org,Gonçalves,MS,eletronicos,Quis,Adidas,3,2886.85,2240.23,20,79.93,App,Boleto,3,Aprovado,Jadlog,Atrasado
80,PED-52576,2026-01-26,2025-12-10,254,Bella Mendes,lduarte@example.com,Leão das Pedras,AC,eletronicos,Quia,LG,3,1098.21,2994.78,0,113.55,app,Crédito,1,aprovado,Correios,Atrasado
81,PED-61981,2024-08-10,2025-02-22,847,Theo Correia,maria-florazevedo@example.net,Mendonça do Norte,RR,Beleza,Fugiat,Apple,2,1562.56,2109.78,0,109.09,Site,Boleto,3,Pendente,Correios,Em trânsito
82,PED-12571,2025-10-10,2024-03-30,421,Dra. Ana Vitória Porto,valentinaaragao@example.net,Leão,MG,Beleza,Mollitia,Apple,4,1246.47,298.91,30,39.67,SITE,Débito,1,Pendente,Total Express,Entregue
83,PED-43637,2025-10-14,2024-03-15,21,Vitória Viana,mirella12@example.org,Machado,SE,Eletrônicos,Nulla,Apple,4,3171.4,822.84,20,53.63,App,Débito,1,Aprovado,Jadlog,Entregue
84,PED-52516,2024-02-27,2024-12-25,1020,Sr. Vinícius da Cunha,vargasbeatriz@example.net,Nunes Paulista,MS,Casa,Id,Samsung,1,1656.35,547.72,10,98.24,app,Crédito,3,Pendente,Correios,Atrasado
85,PED-15304,2024-10-20,2025-01-06,702,Isabela Martins,emanuellacampos@example.org,Viana de Ramos,AM,Eletrônicos,Veniam,Adidas,2,1462.3,1930.4,0,81.22,app,Boleto,2,Recusado,Jadlog,Em trânsito
86,PED-30708,2025-09-15,2025-12-22,6,Davi Luiz Mendonça,da-cruzguilherme@example.org,Gonçalves do Sul,SC,Roupas,Corrupti,Genérica,3,2202.08,2481.12,20,68.1,Aplicativo,Débito,1,Aprovado,Correios,Atrasado
87,PED-47191,2026-01-16,2024-11-11,54,Sra. Amanda Brito,da-rochanatalia@example.net,Mendes,DF,Roupas,Dicta,Samsung,4,82.85,2997.51,0,104.18,Aplicativo,Boleto,2,aprovado,Total Express,Em trânsito
88,PED-60976,2024-09-24,2024-08-23,721,Sara Gonçalves,aparecidalavinia@example.com,Pacheco de Aragão,RN,Casa,Quisquam,Genérica,5,2885.41,2913.18,0,38.52,SITE,Crédito,3,Recusado,Correios,Em trânsito
89,PED-27326,2024-06-10,2025-02-22,11,Lucas Sampaio,jfreitas@example.org,Abreu,AM,Roupas,Temporibus,Apple,4,1264.19,3380.72,30,67.49,Site,Boleto,1,Pendente,Jadlog,Entregue
90,PED-14488,2024-07-01,2024-08-03,207,Luiz Miguel Rodrigues,luiz-henriqueda-luz@example.com,Pinto Alegre,SP,eletronicos,Ipsum,Nike,4,2530.29,1197.76,20,15.87,app,Boleto,2,aprovado,Jadlog,Atrasado
91,PED-55180,2025-05-21,2026-01-03,442,Cecília Cardoso,jesusluiz-henrique@example.org,Sales Grande,RN,Beleza,Error,LG,2,612.85,173.04,10,93.16,App,Débito,2,Aprovado,Total Express,Em trânsito
92,PED-61216,2024-08-20,2024-10-28,100,Igor Caldeira,pachecoemanuella@example.org,Pereira Alegre,MG,Beleza,Dolorem,Genérica,4,2852.97,3260.95,0,45.55,Site,Crédito,1,Recusado,Correios,Em trânsito
93,PED-65153,2025-01-21,2025-01-05,152,Davi Lucca Lima,lauraferreira@example.com,Castro,SP,Beleza,Repudiandae,Apple,4,3204.62,635.87,0,86.89,App,Débito,6,Pendente,Jadlog,Em trânsito
94,PED-74941,2025-10-13,2025-03-22,996,Carlos Eduardo Viana,anogueira@example.com,Rodrigues,BA,Roupas,Facere,LG,5,2794.37,2161.8,0,99.58,app,Boleto,1,aprovado,Correios,Em trânsito
95,PED-90567,2024-07-19,2024-07-19,141,Augusto Araújo,arthur-miguelsales@example.org,Correia,SP,Eletrônicos,Ut,Adidas,1,83.79,934.58,10,35.7,App,Boleto,2,aprovado,Jadlog,Em trânsito
96,PED-42974,2025-05-31,2026-01-06,1087,Breno da Conceição,gda-rocha@example.com,Almeida de da Cunha,RN,Roupas,Quo,Genérica,3,2320.14,1993.04,0,69.06,app,Boleto,12,aprovado,Total Express,Entregue
97,PED-14802,2025-09-02,2024-09-20,203,Vitória Fernandes,guerraana-luiza@example.com,Silveira,DF,Roupas,Nam,LG,4,2582.57,1355.09,10,66.53,Site,Débito,1,Pendente,Correios,Atrasado
98,PED-50183,2024-09-21,2025-10-14,1171,Elisa Pinto,allanacamara@example.net,Barbosa,AP,Roupas,Magni,Adidas,4,2045.42,93.74,20,5.28,Site,Débito,1,Recusado,Total Express,Atrasado
99,PED-81311,2024-09-19,2024-10-21,762,Gustavo Henrique Lima,bcorreia@example.org,Moraes,MG,Eletrônicos,Laboriosam,Genérica,2,2124.87,213.43,0,81.44,Site,Crédito,1,Aprovado,Correios,Atrasado
100,PED-95411,2024-03-14,2025-04-05,290,Valentina Carvalho,agatharibeiro@example.net,Peixoto Paulista,RJ,Eletrônicos,Maiores,Adidas,1,2433.71,2183.33,0,13.09,Aplicativo,Débito,1,Pendente,Jadlog,Em trânsito
101,PED-75539,2024-08-02,2025-02-03,1080,Henry Gabriel da Mota,ribeiroyago@example.org,Dias do Oeste,PR,Casa,Eos,Samsung,1,3016.94,784.87,20,90.6,Site,Débito,1,Aprovado,Correios,Entregue
102,PED-45952,2025-02-05,2025-10-12,47,José da Cunha,wbarros@example.com,Campos,MG,Casa,Atque,Adidas,4,3424.73,667.42,0,113.0,app,Débito,1,aprovado,Jadlog,Atrasado
103,PED-36130,2024-11-07,2024-10-04,646,Leandro Nascimento,marianacarvalho@example.net,Camargo Paulista,SE,Eletrônicos,Sed,Samsung,5,1123.85,433.18,10,66.23,App,Crédito,1,aprovado,Correios,Atrasado
104,PED-43045,2024-05-29,2025-07-14,187,Luara Leão,nsampaio@example.org,Lima,TO,Casa,Iste,Samsung,1,879.43,2849.08,0,11.34,App,Boleto,6,Recusado,Jadlog,Entregue
105,PED-71341,2024-02-17,2025-10-22,347,Luna Pastor,joao-pedrosouza@example.com,Nunes,DF,Eletrônicos,Repellendus,Adidas,5,529.04,634.66,0,92.15,SITE,Boleto,3,Pendente,Correios,Atrasado
106,PED-50739,2025-11-05,2025-02-20,762,Nicole Fogaça,pachecoana-liz@example.org,Garcia,RJ,Eletrônicos,Voluptatum,Adidas,1,338.08,2557.95,10,17.59,SITE,Pix,1,aprovado,Total Express,Em trânsito
107,PED-67611,2025-01-12,2025-04-17,520,Miguel da Costa,ottoda-rosa@example.com,da Luz,TO,Eletrônicos,Voluptate,Samsung,5,1936.73,3354.28,0,8.68,SITE,Débito,12,Recusado,Correios,Atrasado
108,PED-39115,2024-11-08,2025-01-24,859,Marcelo da Mota,da-rosajoao-miguel@example.net,Garcia de Vasconcelos,RR,Eletrônicos,Eum,Adidas,3,3191.6,1595.77,20,15.02,Site,Boleto,6,Aprovado,Correios,Entregue
109,PED-92256,2025-11-10,2025-12-23,678,Rafael Lima,maria-sophia52@example.net,Cardoso de da Luz,AC,eletronicos,Alias,Genérica,4,1008.97,2285.35,10,117.03,App,Pix,1,Aprovado,Correios,Entregue
110,PED-60187,2025-06-04,2024-08-17,810,Ana Lívia Farias,vitor-gabrielda-paz@example.org,Pastor,GO,Roupas,Soluta,Samsung,3,890.29,1534.84,20,44.94,Site,Débito,1,Pendente,Correios,Atrasado
111,PED-81430,2025-03-19,2024-07-16,818,Sr. Bernardo Abreu,heloisa07@example.org,das Neves,RR,Casa,Et,Samsung,5,772.78,2900.94,0,108.73,app,Crédito,6,Aprovado,Jadlog,Atrasado
112,PED-12117,2024-04-09,2025-10-03,306,Aurora Sampaio,peixotooliver@example.net,Abreu Grande,DF,Casa,Labore,Genérica,4,1083.72,1267.73,10,33.15,App,Pix,1,Aprovado,Total Express,Em trânsito
113,PED-96406,2026-01-08,2024-04-08,671,Clarice Moura,elisa68@example.net,Souza,AL,Roupas,Ducimus,Samsung,2,2690.51,1951.66,10,103.23,Aplicativo,Crédito,1,Aprovado,Total Express,Em trânsito
114,PED-22652,2024-04-26,2025-03-02,663,Dra. Maria Alice Campos,ravi-lucca64@example.com,da Costa do Norte,BA,Beleza,Consectetur,Apple,5,1200.5,1933.61,20,71.95,Site,Pix,1,Recusado,Jadlog,Entregue
115,PED-90069,2025-11-18,2025-11-24,994,Dr. Apollo Camargo,sathomas@example.org,Melo,RS,Casa,Ad,Samsung,5,1432.4,2681.12,30,98.81,app,Crédito,1,Pendente,Jadlog,Em trânsito
116,PED-76066,2024-07-16,2024-11-04,984,Sr. Juan Borges,da-mataana-cecilia@example.net,da Cruz de Minas,PE,eletronicos,Voluptatibus,Adidas,4,1489.37,1688.45,30,24.47,App,Débito,2,Recusado,Total Express,Entregue
117,PED-25850,2024-12-11,2025-09-02,450,Milena Costela,oguerra@example.net,Moura Grande,AC,eletronicos,Quod,Samsung,4,1030.49,3233.45,0,23.19,Site,Crédito,1,Recusado,Correios,Em trânsito
118,PED-26959,2026-01-02,2025-04-06,840,Calebe Macedo,alvesantony@example.com,Moraes,BA,Roupas,Dolorum,Samsung,4,1999.66,992.7,10,91.18,Site,Crédito,3,Pendente,Correios,Atrasado
119,PED-37428,2026-01-12,2025-09-11,53,Cecília Rocha,souzaenzo@example.com,Pastor Alegre,AP,eletronicos,Voluptatibus,LG,1,2333.83,2182.08,0,66.38,app,Boleto,12,aprovado,Jadlog,Atrasado
120,PED-31662,2025-09-18,2024-04-22,746,Pietra Azevedo,teixeiraemanuelly@example.net,da Cunha dos Dourados,PE,Beleza,Itaque,Samsung,3,698.94,1693.14,10,55.01,app,Boleto,1,Recusado,Total Express,Em trânsito
