id_cliente,nome,email,sexo,data_nascimento,cidade,estado,data_cadastro,canal_aquisicao,tipo_cliente,score_credito
28,Guilherme Fogaça,aragaovalentim@example.com,m,1940-04-01,Souza do Galho,am,2024-04-09,Orgânico,PF,600
29,Marcos Vinicius Campos,benicio05@example.org,f,1983-03-23,Pimenta do Sul,PI,2024-01-10,Organico,PF,569
30,Antônio Porto,luiz-gustavofogaca@example.com,F,1973-01-30,Rocha,rn,2024-10-30,Ads,PJ,605
31,Noah Nascimento,joao-felipe67@example.com,F,1952-10-26,Freitas do Campo,RS,2023-07-22,Orgânico,PF,852
32,Ravi Vargas,ana-julia41@example.org,M,1964-08-12,Camargo,pa,2023-02-26,Orgânico,pf,319
33,Miguel Silveira,wda-rosa@example.org,M,1987-02-06,Cassiano,Acre,2023-08-24,Orgânico,PF,359
34,Esther Alves,joao-vitorsouza@example.org,F,1990-04-17,da Costa de Rezende,ma,2024-08-15,Ads,PF,797
35,Lunna Gonçalves,da-pazjose@example.net,M,1977-06-27,Vasconcelos,go,2023-06-14,ads,PF,786
36,Nicole Teixeira,pintotheodoro@example.com,F,1940-06-28,da Rosa,Maranhão,2023-04-02,Social,PJ,733
37,Alícia Camargo,flopes@example.net,F,1978-11-06,Fernandes,ma,2023-12-30,ads,PJ,619
38,Sr. Yago Lima,santoserick@example.org,f,1943-12-17,Lopes,es,2024-06-21,Orgânico,pf,829
39,Eloá Fogaça,xvasconcelos@example.net,f,1961-08-17,da Paz,BA,2025-08-24,ads,PF,365
40,Ryan Cirino,scaldeira@example.com,m,1950-08-11,Câmara de Fernandes,DF,2023-05-25,Social,PJ,535
41,João Gabriel Ferreira,sophianovais@example.net,F,1997-02-01,Melo de Rocha,SC,2025-07-30,Ads,PJ,360
42,Marcelo da Rosa,isisfreitas@example.com,F,1979-12-16,Fernandes,AC,2024-12-30,Ads,pf,372
43,Maria Clara Mendes,dpinto@example.com,F,1998-08-15,Brito das Flores,Roraima,2023-11-04,Organico,PF,852
44,Sophie Freitas,diegoborges@example.net,F,1998-01-17,Cavalcanti,am,2024-07-07,Social,PJ,784
45,Mathias Barbosa,sophia54@example.org,F,1946-10-03,Rodrigues dos Dourados,Santa Catarina,2023-06-14,Organico,PF,396
46,Dr. Guilherme Sales,saragao@example.org,M,1943-04-12,da Mata,sc,2025-07-26,Organico,pf,733
47,Sra. Isadora Peixoto,heitorda-paz@example.org,f,2006-08-18,Rezende,Espírito Santo,2023-05-23,Ads,PJ,400
48,Ísis da Paz,hpimenta@example.com,M,1975-03-15,Sampaio de Goiás,Minas Gerais,2025-09-08,Orgânico,PF,554
49,Sr. Luigi Nogueira,ocamara@example.com,F,1996-03-28,Pinto Grande,PB,2024-05-13,Social,pf,443
50,Sarah Moraes,fernandesmaria-vitoria@example.net,f,1989-08-30,Cavalcanti,BA,2025-04-30,Orgânico,pf,555
51,Gustavo Henrique Gomes,emonteiro@example.org,M,1950-01-07,Vasconcelos,Pará,2023-09-27,Social,PF,351
52,Brayan Peixoto,maria-laura23@example.org,M,1958-11-10,Macedo de Goiás,SE,2025-11-20,ads,PF,716
53,Bento Cardoso,pereiraana-julia@example.com,f,1981-07-16,Gonçalves,Roraima,2024-06-30,ads,pf,360
54,Liam Silveira,monteirojose-pedro@example.net,F,1951-09-01,Aragão,São Paulo,2025-12-28,Ads,pf,571
55,Thomas Cavalcante,olivia89@example.net,f,1977-09-12,Fonseca da Prata,Sergipe,2024-06-30,Organico,PJ,869
56,Emilly Barbosa,theodorosilva@example.org,f,1986-09-02,Sousa do Norte,SE,2024-01-02,ads,pf,522
57,Enrico Santos,rafaelgarcia@example.com,M,1955-10-31,Araújo do Campo,ba,2025-03-12,Social,PF,621
58,João Felipe Cavalcanti,gda-rocha@example.com,M,1965-05-11,Novaes Paulista,MS,2024-09-06,Social,pf,814
59,Aylla Rodrigues,mmarques@example.org,F,1994-06-17,Vasconcelos de Silva,DF,2024-06-25,Social,PF,490
60,Raul Pacheco,luiza95@example.com,M,1964-09-07,Sá,ro,2024-01-09,Ads,PJ,540
61,Dr. Felipe Jesus,ucorreia@example.com,f,1948-02-11,Sá,SE,2024-08-02,Social,PF,892
62,Raul Rezende,danteaparecida@example.org,M,2008-01-23,Melo,ms,2025-11-05,Ads,pf,897
63,Benício Nunes,montenegromaria-julia@example.net,m,1959-09-22,Camargo,Amazonas,2024-05-23,ads,PJ,621
64,Emanuella Moraes,maria-isispastor@example.com,F,1985-01-29,Novais,Amapá,2025-11-17,Organico,PF,607
65,Dra. Maysa Pastor,borgesisadora@example.com,f,1978-03-15,Casa Grande das Pedras,Alagoas,2023-03-20,Ads,PF,769
66,Liz Rios,da-rochaantonella@example.com,M,1972-12-16,da Costa das Pedras,GO,2024-05-31,Social,PF,818
67,Davi Luiz da Cunha,raul56@example.net,m,1993-11-14,Ferreira,AP,2026-01-20,Orgânico,PF,550
68,Mathias Fernandes,henryrios@example.com,m,1964-11-22,Farias do Galho,Espírito Santo,2023-09-26,ads,pf,856
69,Bruno da Rocha,agathapastor@example.com,m,1997-02-09,da Rosa do Oeste,ro,2023-02-12,Social,PF,867
70,Vitor Hugo Cassiano,meloisaque@example.com,m,1987-02-01,Duarte,rr,2024-09-18,Ads,PF,570
71,Marcelo Montenegro,mouralucas-gabriel@example.net,M,1946-04-28,Aragão,AC,2024-07-07,Social,PF,578
72,Isabel Montenegro,fvieira@example.org,m,1975-08-03,Andrade da Praia,es,2025-03-08,ads,PJ,651
73,Marcela Melo,anthony-gabrielguerra@example.com,F,2006-06-11,Caldeira da Praia,se,2023-04-03,Orgânico,PJ,800
74,Maitê Vieira,sjesus@example.com,m,1953-02-21,Fonseca do Norte,RR,2023-03-11,Ads,PJ,733
75,Sra. Rebeca Pastor,yasmin26@example.com,m,1942-06-29,da Paz,RN,2025-10-05,Ads,pf,433
76,Dra. Melissa Siqueira,afonseca@example.net,m,1978-07-16,Moreira,PE,2023-11-01,Organico,PJ,737
77,Dra. Luísa Barros,henry-gabrielmendes@example.org,M,1981-02-26,Porto,PA,2025-10-10,Ads,PJ,452
78,Diego Sá,davi-lucas49@example.com,M,2000-07-14,Moreira,Rio Grande do Sul,2023-05-01,Social,PJ,451
79,Lucas Gabriel da Rocha,ana-vitoria49@example.net,f,1940-05-29,Pacheco,PB,2025-03-19,Ads,pf,673
80,Leonardo Moraes,theo41@example.net,M,1982-02-06,da Mota,Santa Catarina,2025-08-19,ads,PJ,555
81,Marcos Vinicius Azevedo,isilveira@example.org,M,1957-03-02,Cassiano do Galho,Bahia,2024-02-08,Social,pf,458
82,Oliver Moura,raulsantos@example.net,F,1979-12-27,Peixoto,AL,2023-07-07,ads,pf,325
83,Raquel Almeida,helena10@example.com,F,1984-03-26,Casa Grande de Cirino,mg,2025-10-09,Orgânico,pf,554
84,Maria Vitória Aparecida,nogueiravitor@example.net,m,1994-01-12,da Costa,RR,2023-09-29,Ads,pf,339
85,Lucas Moraes,nogueiraguilherme@example.org,f,1970-05-08,Marques da Mata,SE,2023-06-09,ads,pf,658
86,Rafaela Pires,zcorreia@example.net,m,1957-03-12,Silva,PR,2024-10-13,ads,PF,497
87,Mariana da Rosa,leonardo38@example.org,f,1975-02-07,Caldeira dos Dourados,Espírito Santo,2025-03-21,Orgânico,PF,585
88,Vitor Gabriel da Paz,wsales@example.net,m,1982-12-02,Caldeira do Sul,al,2023-05-25,Social,pf,849
89,Sr. Rodrigo Vargas,benjamin37@example.net,m,1970-03-16,Câmara de Andrade,PB,2024-04-11,Ads,pf,482
90,Marcela Macedo,mateusribeiro@example.com,m,1995-12-11,Sampaio das Pedras,CE,2023-05-16,Ads,PJ,744
91,Arthur Miguel Monteiro,mendesbreno@example.net,m,1951-09-19,Camargo,go,2025-10-03,Orgânico,pf,823
92,Ana Brito,ana-juliamoura@example.org,M,1984-02-03,Rodrigues,Piauí,2024-04-24,Social,PF,560
93,Pietro Casa Grande,lavinia91@example.net,M,1956-11-10,Cavalcante,pi,2025-03-21,Organico,PF,832
94,João Miguel Garcia,borgesanthony@example.org,F,1965-06-15,Lima,Acre,2025-03-12,Organico,PF,638
95,Daniela Melo,joao-felipebrito@example.org,m,1967-06-01,Pastor de da Mata,df,2024-01-03,Ads,PJ,607
96,Luigi das Neves,emanuellaalbuquerque@example.com,m,1948-11-18,Leão,ap,2024-03-21,Organico,pf,712
97,Srta. Mariana Aparecida,davi13@example.net,m,2002-05-02,da Rosa de Guerra,mt,2024-11-05,ads,PF,730
98,Kamilly Martins,doliveira@example.org,f,1976-07-28,Silva,ba,2024-10-03,ads,PJ,882
99,Antonella Almeida,ravi-luccasilveira@example.net,m,1990-03-14,da Costa,Santa Catarina,2025-07-21,Social,PF,611
100,Sr. Diego Machado,cpastor@example.com,m,1958-12-21,Costela,MG,2025-10-28,Organico,PJ,629
101,Enzo Moreira,castrocarlos-eduardo@example.com,f,2003-07-21,Cunha,Ceará,2025-04-15,Organico,PJ,518
102,Ana Laura Ramos,beatriz40@example.org,f,1945-06-06,Silveira,df,2025-09-02,ads,PJ,386
103,Antony Marques,ester11@example.org,m,1999-05-08,Novais de Jesus,ro,2025-12-20,Social,pf,395
104,Danilo da Rosa,pedroda-costa@example.com,F,1963-05-18,Monteiro de Goiás,go,2026-01-22,Orgânico,PF,503
105,Levi Alves,iannovais@example.org,F,1980-09-12,Almeida,PI,2023-07-14,Ads,PF,786
106,Raquel Santos,hnunes@example.net,M,1953-08-27,Cunha da Prata,Ceará,2024-06-05,Organico,PJ,889
107,Cecilia Fogaça,xalves@example.org,F,1976-03-11,Gomes do Norte,pi,2024-03-09,Organico,pf,709
108,Brayan Pinto,eloaguerra@example.org,F,1949-11-27,Fonseca,RR,2024-02-06,Ads,PF,735
109,Henry Gabriel Pastor,krios@example.org,F,1980-01-14,Rodrigues,AC,2025-10-05,Social,pf,351
110,Maria Laura Rios,fernandesisabella@example.org,F,1995-12-02,Borges dos Dourados,MS,2024-05-27,Organico,PF,775
111,João Gabriel Lima,albuquerquedaniel@example.net,m,1999-10-19,Montenegro dos Dourados,São Paulo,2024-07-18,Social,PJ,816
112,Valentim Mendes,maria-eduarda61@example.net,f,1978-06-16,Carvalho de Minas,pi,2025-10-16,Organico,PF,786
113,Zoe Martins,miguelpinto@example.net,f,2006-03-24,da Rosa,Acre,2025-01-28,ads,PJ,583
114,Sarah Macedo,otavio43@example.com,f,1995-06-19,Lopes das Flores,ce,2024-12-19,ads,pf,750
115,Maria Clara Aragão,nfonseca@example.org,M,1997-05-10,Sá de Marques,se,2023-02-05,Orgânico,PF,578
116,Camila Cirino,fogacasofia@example.com,m,1964-05-17,Pastor,Rio Grande do Norte,2025-10-28,Social,PF,441
117,Levi Borges,xnovaes@example.net,F,1944-01-27,da Rocha,GO,2025-01-29,Organico,PJ,456
118,Ana Julia Pacheco,vandrade@example.org,F,1943-07-25,Gonçalves,GO,2025-06-18,Organico,pf,638
119,Arthur Nascimento,hlima@example.com,f,1963-10-05,Costa,Alagoas,2023-09-03,Ads,PF,730
120,Rodrigo Sá,isaquecunha@example.com,f,1946-06-08,da Rosa,al,2023-03-17,Ads,PJ,689
121,Sara Barbosa,marcelogoncalves@example.net,f,1965-05-20,Cardoso,RO,2025-03-01,Orgânico,pf,699
122,Zoe da Rosa,ana-vitoriamonteiro@example.net,f,1950-04-07,Camargo da Praia,ac,2024-01-14,Social,PJ,525
123,Pedro Henrique Viana,barbosathales@example.org,f,1957-08-18,Abreu,RS,2025-11-09,Orgânico,pf,797
124,Sr. Diogo Siqueira,ana-sophiamoreira@example.net,M,2001-09-12,Fogaça Paulista,Pernambuco,2023-11-27,Orgânico,PJ,714
125,Cecília da Conceição,sapietra@example.org,F,2002-01-03,Fonseca de Goiás,Roraima,2023-07-13,ads,PJ,846
126,Enzo Barros,moraesrael@example.net,M,1951-02-09,Nascimento Paulista,Paraná,2024-02-09,Social,PJ,327
127,Yago Rezende,agathanovaes@example.org,M,1964-04-07,Andrade do Norte,am,2024-04-19,Organico,PF,772
128,Davi Luiz Cassiano,piresmariana@example.net,F,1954-07-17,Andrade de Goiás,RJ,2024-02-29,Orgânico,pf,635
129,Heloísa Porto,antony02@example.com,F,1943-05-18,Pereira,Ceará,2023-02-04,Orgânico,pf,688
130,Srta. Stella Moura,ana-lauravargas@example.com,m,1979-11-06,Vasconcelos Grande,Amapá,2025-03-01,Orgânico,PF,781
131,Daniela Moura,ufarias@example.org,M,1979-11-19,Guerra,mg,2025-04-26,Social,PF,658
132,Jade Camargo,aparecidabento@example.net,F,1989-12-19,Jesus de Goiás,sp,2025-04-26,Ads,PJ,341
133,Hadassa Pastor,benicio23@example.com,M,1943-05-06,Cirino,MS,2023-10-12,ads,PF,456
134,Isadora Pacheco,daniloda-luz@example.org,F,1979-09-19,Fernandes do Campo,BA,2024-03-07,Organico,PJ,417
135,Davi Lucca Câmara,pnovais@example.com,F,1999-12-25,da Cunha de Costa,São Paulo,2023-04-30,Orgânico,pf,471
136,Davi Miguel Andrade,esterandrade@example.org,M,1999-07-01,Pastor do Oeste,PR,2023-11-22,Orgânico,PF,892
137,Maria Helena Fernandes,hsouza@example.com,M,1983-01-15,Barbosa Verde,Acre,2024-10-09,Social,PJ,684
138,Rebeca Nascimento,lorenzoaparecida@example.com,f,1960-10-19,Montenegro,rr,2023-10-05,ads,PF,548
139,Emanuelly Mendes,azevedobeatriz@example.org,M,1952-10-09,Alves,ma,2023-12-11,Orgânico,PJ,423
140,Vinicius Porto,vinicius81@example.net,M,2002-02-26,das Neves da Prata,São Paulo,2024-11-20,Social,pf,679
141,Vitor Gabriel Câmara,ramosthales@example.net,M,1987-06-12,da Rosa,ap,2025-11-08,Orgânico,PF,730
142,Nathan Moreira,ppimenta@example.com,f,1982-12-12,Pastor do Oeste,MT,2023-05-10,Organico,pf,770
143,Calebe Andrade,joanasousa@example.org,F,1974-11-22,Mendes,Bahia,2025-02-08,ads,PJ,834
144,Caroline Dias,hellena68@example.org,m,1955-09-05,Rezende do Sul,pb,2025-08-15,Social,pf,776
145,Srta. Ana Luiza Costela,sarahsilveira@example.com,f,1984-10-24,Castro da Serra,ma,2025-08-02,Social,pf,630
146,Gael Henrique da Conceição,rebeca29@example.org,F,1952-10-09,Guerra,MG,2023-05-11,Orgânico,pf,549
147,Sr. Anthony Gabriel Silveira,samuel91@example.net,f,1953-04-04,Araújo Alegre,pi,2025-10-22,Social,PJ,688
148,Rhavi da Rosa,pachecoleonardo@example.net,m,1972-12-02,Sales,MS,2024-01-07,Organico,pf,486
149,Stephany Caldeira,kdias@example.org,f,1998-08-06,Nunes,RO,2024-09-28,Orgânico,pf,648
150,Thiago Nunes,brunonogueira@example.net,m,1944-06-26,Monteiro,rs,2025-07-21,Orgânico,PJ,310
151,Kaique Nogueira,carlos-eduardocampos@example.com,F,1941-05-03,Camargo Verde,TO,2025-03-30,ads,PJ,716
152,Erick Leão,guerrajoao-vitor@example.com,f,1997-04-15,Campos de Minas,ac,2024-12-04,ads,PJ,787
153,Camila Santos,marquesapollo@example.net,f,1953-01-16,Rezende,Piauí,2023-06-02,Ads,PF,601
154,Maria Alice Monteiro,calebenunes@example.org,F,1950-03-26,Cirino,Rondônia,2025-01-04,ads,pf,895
155,Milena Caldeira,hadassa95@example.org,m,1955-08-11,Sales da Serra,Ceará,2024-08-28,Social,PJ,652
156,Gustavo Henrique Sá,falves@example.com,f,2005-07-01,Sá,pr,2024-09-10,Social,pf,660
157,Rebeca Porto,xmontenegro@example.com,f,1960-12-27,Costela de Goiás,Espírito Santo,2024-09-09,Orgânico,pf,536
158,Maria Luísa Correia,yancamara@example.net,M,1955-12-25,Barros do Galho,mg,2024-07-20,ads,pf,422
159,Rodrigo Moreira,ferreiramelissa@example.net,F,1943-10-13,Moraes,MT,2024-10-04,ads,PJ,795
160,Noah Alves,albuquerquemathias@example.com,m,1989-11-24,da Cunha Paulista,rs,2024-01-05,Social,PJ,589
161,Bárbara Macedo,gabriellyda-costa@example.net,M,1990-02-27,Lima,RR,2024-09-25,Orgânico,PF,669
162,Caio Nogueira,julia69@example.com,F,1988-11-26,Cirino,Espírito Santo,2025-02-25,Ads,PJ,846
163,Bryan Melo,lgoncalves@example.org,F,1960-06-06,da Rosa,Rio de Janeiro,2023-08-13,Ads,PF,866
164,Ana Cecília Macedo,piresluara@example.org,m,1954-02-27,das Neves,sc,2023-10-26,ads,PJ,802
165,Sr. Ravi Câmara,franciscogomes@example.org,M,1954-12-03,Barbosa do Galho,RJ,2025-08-28,Social,pf,780
166,Hellena Nogueira,caleb45@example.net,f,1955-05-30,Montenegro,Pará,2024-12-10,Orgânico,PF,352
167,Yago Silveira,gnascimento@example.org,m,1995-12-15,Barbosa da Serra,Santa Catarina,2026-01-27,Ads,PF,710
168,Aurora Gomes,igormachado@example.net,f,1980-12-31,Casa Grande Verde,RN,2024-05-24,Social,PJ,354
169,Maitê Cassiano,cunhabenjamin@example.net,F,1956-06-16,da Paz,CE,2026-01-08,Social,pf,387
170,Sra. Gabrielly Cavalcante,machadosabrina@example.net,F,1965-10-27,Vieira de Novaes,RO,2025-08-03,Social,pf,531
171,Dra. Ana Vitória Alves,anaferreira@example.net,f,1952-08-21,Almeida das Flores,Pará,2024-05-24,Organico,pf,739
172,Srta. Zoe Pereira,barroseloah@example.net,m,2001-09-13,Vieira da Serra,df,2023-08-29,Social,PF,401
173,Ravy Albuquerque,rodrigomoura@example.net,F,1983-10-18,Cavalcanti,mg,2025-12-28,ads,pf,383
174,Raquel Silva,ana-lauramendonca@example.org,F,1992-07-28,Costela,MA,2023-02-05,ads,PJ,376
175,Lorenzo Abreu,kaiquerodrigues@example.org,F,1984-04-29,Souza,SP,2024-01-26,Organico,pf,781
176,Maria Laura das Neves,macedoravi-lucca@example.net,m,1962-09-22,Carvalho de Azevedo,AP,2024-09-08,ads,pf,589
177,Sabrina Albuquerque,antonella73@example.net,f,1976-03-25,Costela do Amparo,SP,2024-09-07,ads,pf,502
178,Caio Melo,pvasconcelos@example.org,f,1988-01-09,Peixoto,RN,2025-09-06,Social,PF,452
179,João Gabriel Sales,halves@example.org,m,1982-06-20,Nogueira,MT,2023-09-24,Ads,PF,469
180,Gabriel Cardoso,hporto@example.org,m,1977-04-08,Gonçalves,pi,2025-07-29,Social,pf,749
181,Oliver Gonçalves,casa-grandeotto@example.com,M,1990-06-28,Jesus Alegre,Rio Grande do Sul,2023-09-20,Orgânico,PJ,712
182,Théo Sousa,vsouza@example.net,m,1995-01-01,Moura,rj,2025-01-13,Social,pf,748
183,Sra. Alícia Vieira,ecosta@example.org,M,1974-09-20,Guerra da Mata,ce,2024-01-10,Ads,pf,630
184,Milena Marques,borgesemanuella@example.org,m,1958-09-07,Ferreira das Pedras,TO,2023-02-03,Ads,PF,889
185,Paulo Costela,sara04@example.com,M,1975-09-04,Vasconcelos,am,2024-06-13,Orgânico,PJ,341
186,João Lucas Castro,livia18@example.org,F,1949-07-17,Lima,Maranhão,2024-04-03,Social,PJ,752
187,Igor Costela,benjaminpinto@example.org,m,1982-03-25,Costela,PE,2024-06-24,Social,pf,803
188,Dr. Davi Miguel Dias,monteirovicente@example.net,M,1971-08-20,Gonçalves,Bahia,2026-01-05,Orgânico,pf,641
189,Lucca Teixeira,josevasconcelos@example.com,m,1991-07-21,Santos das Flores,rr,2025-01-04,Ads,PF,637
190,Isabella Azevedo,beatriz08@example.com,f,1971-10-22,Nunes dos Dourados,ac,2024-03-21,Organico,pf,710
191,Brayan Pimenta,bryan33@example.org,M,1978-04-25,Rios,Alagoas,2025-10-21,Ads,pf,558
192,Bruna Monteiro,luigi29@example.org,m,1996-01-12,Peixoto,GO,2026-01-22,Organico,PJ,301
193,Dom Moura,ucampos@example.org,f,1964-05-11,Nogueira Paulista,Ceará,2023-09-16,Ads,PF,830
194,Sr. Diogo Vasconcelos,camilanunes@example.com,m,1982-01-09,da Rosa,pi,2024-05-03,Organico,PJ,752
195,Enzo Gabriel Caldeira,da-luzsophia@example.com,M,1996-10-14,da Paz Grande,RJ,2024-06-18,Orgânico,PJ,434
196,Olívia Martins,vianaanna-liz@example.com,m,1948-02-26,Gomes de Vieira,Piauí,2023-06-13,Organico,PF,329
197,José Abreu,zpimenta@example.com,F,1992-10-29,Brito,es,2025-09-08,ads,pf,864
198,Heloisa Guerra,kcirino@example.org,M,1948-06-23,Brito das Flores,pa,2024-04-01,Organico,PF,530
199,Rafaela Brito,santosdiogo@example.net,M,1962-01-29,Borges de Porto,Ceará,2025-08-18,Ads,PJ,457
200,Calebe Duarte,riosmaria-laura@example.org,f,1943-06-15,Fogaça do Campo,sc,2025-03-17,Orgânico,PJ,579
201,Heloísa Castro,unascimento@example.com,f,1999-04-27,Lopes,Mato Grosso,2025-02-15,Organico,PF,767
202,Alícia Rocha,fernando84@example.org,F,1972-01-28,Peixoto,Amazonas,2025-12-29,ads,PJ,820
203,Maria Luísa Caldeira,araujolivia@example.com,F,2006-10-15,Guerra,MA,2024-09-13,Orgânico,pf,648
204,Caio Mendonça,vargasluiz-henrique@example.net,m,1943-12-31,Campos,AC,2025-12-26,Orgânico,PJ,605
205,Arthur Azevedo,eloa53@example.net,f,1982-01-18,Abreu do Oeste,MA,2023-08-03,Organico,PJ,795
206,Laura Costela,antony99@example.com,m,1996-08-17,Moraes do Galho,Acre,2025-06-10,Social,PJ,686
207,Henry Lima,antonio92@example.com,f,1953-12-08,Souza,Piauí,2024-10-06,ads,PJ,544
208,Marcela Vieira,da-conceicaolara@example.org,f,1950-08-30,Pereira dos Dourados,ES,2024-01-16,Organico,PF,625
209,Luiz Fernando Rodrigues,andrademaria-isis@example.net,f,1994-01-31,da Conceição,rs,2026-01-01,Organico,pf,455
210,Mariah da Costa,monteiroluiza@example.net,f,1940-07-23,da Luz Alegre,MT,2024-06-29,ads,PJ,639
211,Vitória Costela,natalia33@example.org,M,1957-03-18,Pinto de Moreira,São Paulo,2023-10-03,Ads,PJ,767
212,Anthony Gabriel Martins,castrotheo@example.org,M,1943-10-04,da Conceição da Mata,pa,2023-12-31,ads,pf,458
213,Elisa Lima,cassianobruna@example.net,M,1954-12-08,Novaes das Pedras,São Paulo,2025-01-17,Orgânico,pf,707
214,Eduarda Cunha,lorena96@example.com,M,1961-11-01,Vargas,Piauí,2023-04-02,Social,pf,624
215,Srta. Alice da Cruz,jade01@example.com,f,1941-05-07,Guerra,es,2024-01-05,Ads,PJ,370
216,Milena Gonçalves,xda-mata@example.com,F,1969-04-02,da Rosa,am,2024-05-28,Orgânico,PF,392
217,Benício Pacheco,aalmeida@example.org,f,1942-12-11,Pires de Souza,SE,2024-03-31,Ads,pf,470
218,Sr. Henrique Ramos,kgoncalves@example.com,m,1965-05-18,Brito,DF,2024-01-11,Ads,pf,357
219,Henrique Costela,biancalima@example.net,m,1994-11-24,Monteiro Paulista,Goiás,2025-03-12,Orgânico,pf,449
220,Sr. Luiz Henrique Fogaça,caiofernandes@example.net,F,1949-12-11,Garcia,pb,2024-10-14,Organico,PJ,484
221,Marcela Gonçalves,vitor-gabriel47@example.net,F,1946-07-06,da Mata Paulista,GO,2024-09-09,Ads,PJ,691
222,Guilherme Ferreira,valentinalopes@example.net,F,1947-11-11,Dias das Pedras,São Paulo,2023-10-23,Social,PF,537
223,Erick Porto,bernardopinto@example.com,f,1957-04-24,Rezende do Galho,ap,2023-12-29,Orgânico,pf,561
224,Guilherme Novaes,nunesandre@example.com,M,1989-12-04,Marques,Mato Grosso do Sul,2024-10-29,Orgânico,PJ,859
225,Henry da Costa,bellapires@example.net,F,1986-05-12,Garcia,AP,2025-10-20,Organico,pf,606
226,Ayla Camargo,wteixeira@example.net,f,1972-02-14,Pastor,rs,2025-09-12,Orgânico,pf,609
227,Dom Garcia,leviduarte@example.org,F,1959-03-11,da Conceição de Sá,Tocantins,2024-01-28,Organico,PF,542
228,Vitor da Rocha,fernanda96@example.com,f,1940-10-20,Alves,df,2025-07-20,Orgânico,PJ,602
229,Aylla Caldeira,xda-costa@example.net,m,1962-06-22,Rodrigues,BA,2025-02-21,Organico,pf,308
230,Matheus Barbosa,heloisa77@example.org,M,1985-09-17,da Mata,pr,2023-10-20,Organico,pf,535
231,Maria Alice Cavalcante,dcastro@example.org,m,1960-11-28,Silveira dos Dourados,PI,2024-07-04,ads,PJ,556
232,Matteo Sá,vinicius69@example.net,F,1943-03-28,Mendes,ap,2025-11-20,Ads,PJ,340
